Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
1 - 5,5,Christian McCaffrey,RB,Run CMC,0.0,0.0,359.8,22.49,16,100.0,A+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
3 - 3,23,Josh Allen,QB,Pain Inflictors,0.0,0.0,380.14,22.36,17,100.0,A+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
2 - 3,13,CeeDee Lamb,WR,Team HebAchi,0.0,0.0,337.7,19.86,17,100.0,A+,{49094F84-F849-4173-B052-21E1CDEDB4EF}
1 - 7,7,Tyreek Hill,WR,Brown Munde,0.0,0.0,323.9,20.24,16,98.39,A+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
10 - 4,94,Raheem Mostert,RB,Brown Munde,0.0,0.0,255.7,17.05,15,95.77,A,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
3 - 4,24,Jalen Hurts,QB,THE BIGMADBLUE,0.0,0.0,328.82,19.34,17,95.59,A,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
5 - 8,48,Dak Prescott,QB,Team HebAchi,0.0,0.0,311.84,18.34,17,93.41,A,{49094F84-F849-4173-B052-21E1CDEDB4EF}
4 - 4,34,Lamar Jackson,QB,Brown Munde,0.0,0.0,303.72,18.98,16,93.36,A,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
2 - 7,17,Amon-Ra St. Brown,WR,Amon a Mission,194.63,12.98,271.9,16.99,16,92.11,A-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 4,64,Breece Hall,RB,THE BIGMADBLUE,0.0,0.0,257.0,15.12,17,91.53,A-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
12 - 8,118,Tua Tagovailoa,QB,Pain Inflictors,0.0,0.0,261.36,15.37,17,91.32,A-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
14 - 7,137,Jordan Love,QB,THE BIGMADBLUE,0.0,0.0,290.06,17.06,17,90.97,A-,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
4 - 9,39,Travis Etienne Jr.,RB,Wakanda Forever,0.0,0.0,256.4,15.08,17,90.0,A-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
15 - 10,150,Jared Goff,QB,Amon a Mission,0.0,0.0,266.6,15.68,17,88.39,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 - 10,20,Joe Mixon,RB,Team CTE,0.0,0.0,241.0,14.18,17,88.38,B+,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
9 - 5,85,Mike Evans,WR,Run CMC,0.0,0.0,245.0,14.41,17,88.11,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
4 - 1,31,Keenan Allen,WR,Amon a Mission,0.0,0.0,225.86,17.37,13,87.68,B+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
7 - 5,65,DJ Moore,WR,Run CMC,0.0,0.0,240.0,14.12,17,87.48,B+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
3 - 2,22,Patrick Mahomes,QB,Wakanda Forever,0.0,0.0,256.72,16.05,16,87.23,B+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
5 - 10,50,Rachaad White,RB,Amon a Mission,0.0,0.0,236.4,13.91,17,86.96,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
1 - 8,8,Derrick Henry,RB,Team HebAchi,0.0,0.0,232.66,13.69,17,86.85,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
2 - 6,16,A.J. Brown,WR,Run CMC,0.0,0.0,238.1,14.01,17,86.72,B,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
4 - 7,37,Deebo Samuel,WR,THE BIGMADBLUE,0.0,0.0,231.6,15.44,15,86.44,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
16 - 4,154,Sam LaPorta,TE,Brown Munde,0.0,0.0,196.8,11.58,17,85.45,B,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
3 - 10,30,Jahmyr Gibbs,RB,Amon a Mission,0.0,0.0,216.1,14.41,15,85.3,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 10,60,Trevor Lawrence,QB,Team CTE,0.0,0.0,238.54,14.91,16,85.27,B,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
14 - 8,138,Nico Collins,WR,Pain Inflictors,0.0,0.0,223.4,14.89,15,84.9,B,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
1 - 9,9,Bijan Robinson,RB,Bhambhwani Pawan Dilip,0.0,0.0,219.6,12.92,17,84.88,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
9 - 8,88,David Montgomery,RB,Team HebAchi,0.0,0.0,201.2,14.37,14,84.73,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
2 - 1,11,Stefon Diggs,WR,THE BIGMADBLUE,0.0,0.0,221.8,13.05,17,84.56,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
1 - 10,10,Saquon Barkley,RB,THE BIGMADBLUE,0.0,0.0,202.7,14.48,14,84.07,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
1 - 2,2,Ja'Marr Chase,WR,Wakanda Forever,0.0,0.0,217.22,13.58,16,84.03,B,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
7 - 8,68,Brandon Aiyuk,WR,Team HebAchi,0.0,0.0,213.2,13.33,16,83.9,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
6 - 7,57,James Cook,RB,THE BIGMADBLUE,0.0,0.0,210.7,12.39,17,83.88,B,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
5 - 7,47,Alvin Kamara,RB,Brown Munde,0.0,0.0,195.5,15.04,13,83.57,B,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
6 - 1,51,James Conner,RB,Amon a Mission,0.0,0.0,188.0,14.46,13,83.46,B,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
2 - 2,12,Davante Adams,WR,Bhambhwani Pawan Dilip,0.0,0.0,214.4,12.61,17,83.42,B,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
15 - 8,148,Matthew Stafford,QB,Team HebAchi,0.0,0.0,221.6,14.77,15,83.36,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
6 - 3,53,Isiah Pacheco,RB,Team HebAchi,0.0,0.0,192.4,13.74,14,83.19,B,{49094F84-F849-4173-B052-21E1CDEDB4EF}
12 - 6,116,Cowboys D/ST,D/ST,Run CMC,0.0,0.0,193.1,11.36,17,82.9,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
13 - 10,130,Russell Wilson,QB,Amon a Mission,0.0,0.0,220.9,14.73,15,82.9,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
17 - 3,163,De'Von Achane,RB,Pain Inflictors,0.0,0.0,179.2,16.29,11,82.84,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
5 - 5,45,Justin Herbert,QB,Run CMC,0.0,0.0,209.66,16.13,13,82.82,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
10 - 3,93,Jerome Ford,RB,Team HebAchi,0.0,0.0,192.2,11.31,17,82.79,B-,{49094F84-F849-4173-B052-21E1CDEDB4EF}
10 - 5,95,Brian Robinson Jr.,RB,Kelce You Again!,0.0,0.0,181.6,12.11,15,82.4,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
1 - 6,6,Travis Kelce,TE,Kelce You Again!,0.0,0.0,172.9,11.53,15,81.86,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
1 - 1,1,Justin Jefferson,WR,Team CTE,0.0,0.0,169.7,16.97,10,81.78,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
2 - 5,15,Tony Pollard,RB,Kelce You Again!,0.0,0.0,195.1,11.48,17,81.61,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
6 - 8,58,George Kittle,TE,Pain Inflictors,0.0,0.0,172.7,10.79,16,81.22,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
5 - 1,41,T.J. Hockenson,TE,Team CTE,0.0,0.0,171.5,11.43,15,81.2,B-,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
9 - 9,89,Michael Pittman Jr.,WR,Bhambhwani Pawan Dilip,0.0,0.0,197.7,12.36,16,81.05,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
9 - 2,82,Evan Engram,TE,Wakanda Forever,0.0,0.0,173.3,10.19,17,80.84,B-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
5 - 2,42,Amari Cooper,WR,Wakanda Forever,0.0,0.0,194.5,12.97,15,80.71,B-,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
6 - 2,52,Justin Fields,QB,Bhambhwani Pawan Dilip,0.0,0.0,189.68,14.59,13,80.68,B-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
11 - 5,105,Jordan Addison,WR,Run CMC,0.0,0.0,189.8,11.16,17,80.44,B-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
5 - 6,46,Kenneth Walker III,RB,Kelce You Again!,0.0,0.0,186.4,12.43,15,80.39,B-,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
15 - 3,143,Ravens D/ST,D/ST,Pain Inflictors,0.0,0.0,196.6,11.56,17,80.36,B-,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
15 - 7,147,Geno Smith,QB,Brown Munde,0.0,0.0,203.76,13.58,15,80.28,B-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
3 - 7,27,DK Metcalf,WR,Brown Munde,0.0,0.0,193.9,12.12,16,80.0,B-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
12 - 9,119,Jets D/ST,D/ST,Wakanda Forever,0.0,0.0,178.4,10.49,17,79.98,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
8 - 9,79,George Pickens,WR,Wakanda Forever,0.0,0.0,183.0,10.76,17,79.98,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
11 - 3,103,David Njoku,TE,Pain Inflictors,0.0,0.0,160.7,10.04,16,79.93,C+,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
13 - 5,125,Kirk Cousins,QB,Run CMC,0.0,0.0,143.74,17.97,8,79.66,C+,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
7 - 2,62,Jonathan Taylor,RB,Wakanda Forever,0.0,0.0,147.4,14.74,10,79.48,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
6 - 4,54,D'Andre Swift,RB,Brown Munde,0.0,0.0,179.8,11.24,16,79.44,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
